"preparations","reps"
"maxilla fragment (posterior)",2
"maxilla fragment w/ 2 Px",2
"maxilla fragment w/ dP3-dP4 and M1",2
"maxilla fragment with Mx",2
"maxilla fragment w/ M1-3",2
"maxilla fragment w/ Mx",2
"maxilla fragment w/ P1",2
"maxilla fragment w/ P2",2
"maxilla fragment w/ P3-M2",2
"maxilla fragment w/ P4-M3",2
"maxilla fragment w/ Px",2
"MAXILLA FRAGS,DENTARY FRAG",2
"MAXILLA FRAGS,DENTARY FRAGS",2
"MAXILLA FRAGS,TEETH",2
"MAXILLA FRAG, TEETH",2
"maxilla frag. w/ 3 teeth",2
"MAXILLA FRAG W 3 TEETH",2
"MAXILLA FRAG W DP",2
"maxilla frag w/ M1",2
"MAXILLA FRAG W M3-M4",2
"MAXILLA FRAG W P2-M3",2
"MAXILLA FRAG W P3-M2",2
"MAXILLA FRAG W P,M",2
"maxilla frag. w/ resorption pit",2
"MAXILLA FRAG W TOOTH FRAGS",2
"Maxilla, left",2
"maxilla, M1",2
"MAXILLA,M2-M3/",2
"maxilla, partial",2
"MAXILLA PARTIAL",2
"maxilla, RM1",2
"maxilla, RM2",2
"maxillary frag.",2
"MAXILLARY FRAG W M1-M3",2
"maxillary frag w premolar",2
"Maxillary (partial)",2
"maxillary tooth",2
"maxilla tooth, broken",2
"maxilla w/ 2 teeth",2
"maxilla w/ 4 teeth",2
"MAXILLA W DP3",2
"maxilla with M1-M2",2
"maxilla with two teeth",2
"maxilla w LM2 + R M1",2
"maxilla w LM3+R M2-M3",2
"maxilla w L M3+ R M3",2
"maxilla w L P3-M2",2
"maxilla w L P4-M1+R P4-M1",2
"maxilla w L P4-M2+R P4-M2",2
"maxilla w L P4-M2+R P4-M3",2
"maxilla w M1/",2
"maxilla w/M1",2
"maxilla W M1-2",2
"maxilla w M1-M2",2
"MAXILLA W M3-4",2
"MAXILLA W P1-3",2
"MAXILLA W P1-M3",2
"maxilla w/ P2-M1",2
"MAXILLA W P2-M2",2
"MAXILLA W P3-M1",2
"maxilla w/ P3-M2",2
"maxilla w P3-M3",2
"maxilla w R P4-M2",2
"maxilla w R P4, M2-M3",2
"MAXILLA W TOOTH",2
"maxillla fragment",2
"MAX & JAW",2
"MAX & JAW FRAGS WITH T#/ & T/#",2
"MAX, L DP2/-DP4/",2
"MAX, L M1/-M3/ | Cast",2
"MAX, L P2/-M3/",2
"MAX, L P3/-M2/",2
"MAX, L P3/-M3/",2
"MAX, L P3/-M3/ | Cast",2
"MAX, L P3/-P4/-M1/-M2/-M3/",2
"MAX, L P4/-M1/ | Cast",2
"MAX, L P4/-M2/ | Cast",2
"MAX, L P4/-M3/ | Cast",2
"Max+ M1/, M2/",2
"Max+ M2/, M3/",2
"MAX, M2/-M3/ | Cast",2
"MAX, P3/-M2/ | Cast",2
"MAX, P3/-M3/ | Cast",2
"MAX, P4/-M3/",2
"MAX, R P4/-M2/ | Cast",2
"MAX, R P4/-M3/ | Cast",2
"MAX, R P5/-M1/",2
"MAX & T#/ | Cast",2
"MAX WITH L M1/-M2/",2
"MAX WITH M#/",2
"MAX WITH M1/-M2/",2
"MAX WITH P4/",2
"MAX WITH R M1/-M2/",2
"MAX WITH R M1/-M3/",2
"MAX WITH R P3/-M1/",2
"MAX X6 | Cast",2
"M/# | Cast",2
"MCK35SE",2
"/M,DENTARY FRAG",2
"MED HYOPLASTRON",2
"med. hypoplastron",2
"Medial frag of L Astragalus",2
"medial phalanx frag",2
"MEDIAL PHALANX OF PES",2
"medial r hypoplastron frag",2
"median caudal vertebra",2
"median cervical vertebra",2
"MEDIAN PHALANGES",2
"median phalanx",2
"MEDIAN PHALANX",2
"MED TOOTH",2
"Mesocuneiform",2
"metacarpal?",2
"METACARPAL 2,4",2
"METACARPAL 2-5",2
"Metacarpal 3",2
"METACARPAL 3-4",2
"METACARPAL 3,PHALANX",2
"Metacarpal 5",2
"Metacarpal, distal end",2
"Metacarpal frag",2
"Metacarpal Frag",2
"Metacarpal I",2
"metacarpal III, distal fragment",2
"Metacarpal III, right, proximal end",2
"Metacarpal IV",2
"metacarpal IV, lacking distal epiphysis",2
"Metacarpal IV right",2
"Metacarpal IV, right",2
"metacarpal or phalanx",2
"METACARPAL,PHALANX",2
"metacarpals",2
"METACARPALS 3-4",2
"metacarpals III and IV",2
"METACARPALS,METATARSALS",2
"Metacarpal V fragment",2
"metacarpel/tarsal",2
"metacone of Mx",2
"?metapodial",2
"METAPODIAL ?",2
"METAPODIAL 1",2
"METAPODIAL 5",2
"METAPODIAL,CALCANEUM",2
"metapodial diaphysis",2
"metapodial (dist)",2
"metapodial, distal articular head",2
"metapodial, distal end",2
"metapodial, distal frag",2
"Metapodial, distal fragment",2
"metapodial epiphysis",2
"Metapodial epithysis frag",2
"?metapodial frag",2
"METAPODIAL FRAG ?",2
"METAPODIAL FRAGS,VERTEBRAE",2
"metapodial II or IV & 3 phalanges",2
"metapodial II or IV, distal epiphysis",2
"metapodial II or IV, fragment",2
"METAPODIAL,PHALANX 1",2
"METAPODIAL,RIB",2
"metapodials (juvenile)",2
"METAPODIALS,METACARPAL 3",2
"Metapodial, splint",2
"Metatarsal?",2
"metatarsal 1",2
"METATARSAL 4,PHALANX",2
"METATARSAL 5 ?",2
"metatarsal (distal)",2
"Metatarsal, distal end",2
"metatarsal frag.",2
"metatarsal fragment",2
"metatarsal fragments",2
"Metatarsal frags",2
"Metatarsal I",2
"Metatarsal II",2
"Metatarsal III fragment",2
"Metatarsal III, proximal fragment",2
"Metatarsal III, right, distal fragment",2
"Metatarsal II, right",2
"Metatarsal IV right",2
"metatarsal or metacarpal",2
"metatarsal (proximal)",2
"metatarsal, proximal fragment",2
"Metatarsals",2
"METATARSALS 3",2
"METATARSALS OF L HIND FOOT",2
"METATARSUS 2",2
"/m frag",2
"/M? frag.",2
"M/? frag",2
"/M ? FRAG",2
"M FRAG ?",2
"M FRAG /",2
"M/# FRAG | Cast",2
"M#/ FRAG | Cast",2
"M fragment",2
"M frags.",2
"M/# & FRAGS",2
"M/,I",2
"Microfossil slide - 242",2
"Microfossil slide - 26",2
"Microfossil slide - 27",2
"Microfossil slide - 30",2
"Microfossil slide - 43",2
"Microfossil slide - 44",2
"Microfossil slide - 53",2
"Microfossil slide - 57",2
"Microfossil slide - 59",2
"Microfossil slide - 60",2
"Microfossil slide - 64",2
"Microslide; Embedded",2
"Microslide; Microslide; Microslide; Microslide",2
"Microslide; Peels no remnants; Thin sections no remnants",2
"Microslide; Wet",2
"microsporangiate cone",2
"MIDDLE PHALANX",2
"MIDDLE PORTION OF BODY",2
"mid-dorsal vertebral centra",2
"MID FIBULA",2
"MID FULCRUM",2
"MID L DENTARY",2
"MID PHALANX 3",2
"MID PHALANX,BONE FRAGS",2
"MID PHALANX,DIGIT 3",2
"MID PHALANX,DIGIT 3 ?,MANUS",2
"mid-portion of skull",2
"mid section of humerus",2
"mid shaft of femur",2
"MINUS TAIL; A+B",2
"MI OR M2",2
"Misc Bone",2
"Misc. Bone",2
"misc bone fragments",2
"Misc bone frags",2
"misc bone+scales",2
"Misc bones, juvenile",2
"misc carapace frags",2
"miscelaneous small pieces (found in association with vp 3199)",2
"miscellaneous egg shell fragments (unassociated)",2
"Miscellaneous fragments",2
"miscellaneous postcranial bones",2
"MISCELLANEOUS TEETH & JAW FRAGS",2
"miscellaneous toe elements (unassociated)",2
"miscellaneous tooth",2
"misc frags.",2
"Misc jaw frags",2
"misc jaws",2
"misc. long bone frags.",2
"Misc. postcrania",2
"MISC POSTCRANIAL",2
"MISC. POSTCRANIAL",2
"misc postcranials",2
"misc. shell fragments",2
"misc. small bones",2
"misc small mammal postcrania",2
"misc teeth+bone",2
"misc tooth and jaw frags",2
"MISC TOOTH FRAGS",2
"misc vertebra+osteoderms",2
"mitten tooth",2
"m last",2
"/M,M/",2
"M/#, M#/",2
"M/,/M3",2
"M/#, M/3, ASSOCIATED",2
"M/,M FRAG/",2
"M#/ & M/# FRAGS",2
"M/#, M#/, L M/1-M/2",2
"/M,M/,P",2
"mnd. frag w/ P4 & M1",2
"mnd sym w/ roots",2
"_ MOLAR",2
"molar cusp",2
"molar frag?",2
"molar? frag",2
"molar frags.",2
"molariform fragments",2
"molar in dentary fragment",2
"molar, lower",2
"molar (M3)",2
"MOLARS/",2
"MOLARS & PREMOLARS, UNASSOCIATED",2
"MOLARS, UNASSOCIATED",2
"MOLAR TALONID",2
"molar, upper",2
"Molar, upper",2
"Mold - 2",2
"mold of scales, part and counterpart",2
"/M OR /DP",2
"mounted whole animal (dry); whole animal (70% ethanol)",2
"mounted whole animal (dry); whole animal (alcohol)",2
"M/,P/",2
"M/# & P/#",2
"M/#, P/#",2
"M#/ & P#/",2
"M/#, P/4",2
"M#/, P4/, P3/",2
"M/,/P,/M",2
"M/ S",2
"M/# TALONID",2
"MT IV",2
"/M,TOOTH FRAGS",2
"M/# TRIGONID",2
"M#/, UNASSOCIATED",2
"/mx",2
"Mx?",2
"Mx, abraded",2
"m/x frag.",2
"/Mx frag.",2
"Mx fragments",2
"Mx (lacking anterolabial corner)",2
"MX lingual half",2
"mx or px",2
"m/x talonid",2
"mx, trigonid",2
"mx, worn",2
"N",2
"N1 frag",2
"N2",2
"NASAL HORN",2
"nasals",2
"NASALS (LOT #)",2
"natural mold of vertebrae+ribs + latex peel",2
"NAVICUALR",2
"navicular and ectomesocuneiform",2
"NAVICULAR-CUBOIDS",2
"NAVICULAR,PHALANX",2
"NC, BRAINCASE",2
"NC, DENTICLES",2
"NC; DISTAL SPINE",2
"NC; FAIR; WHOLE",2
"NC, HEAD; FAIR",2
"NC, HEADLESS",2
"NC; MANDIBLE",2
"NC, PALATOQUADRATE",2
"NC; SCALES",2
"NC, VERTEBRAE",2
"NC, WHOLE, LARVAL FISH; GOOD",2
"NEARLY COMPLETE, A+B",2
"NEARLY COMPLETE IMPRESSION, A+B",2
"NEARLY COMPLETE SHELL",2
"NEARLY COMPLETE SKELETON IN PART & COUNTERPART",2
"NEARLY COMPLETE SPECIMEN",2
"neural 1, juvenile",2
"neural 6 o r7",2
"neural 6 or 7",2
"neural 8",2
"neural arch of vertebra",2
"neural+costal",2
"neural+costal frag",2
"NEURAL FRAG",2
"neural fragment",2
"neural osteoscute fragment",2
"neural process of vertebra",2
"neurals and costals, assoc",2
"NEURAL,SHELL FRAGS",2
"neural spine - sagittal section",2
"NEURAL SPINE THIN SECTION",2
"neurocranium",2
"NEUROCRANIUM, A+B",2
"newly erupted tooth",2
"NUCHAL PLATE",2
"NUCHALS",2
"nueral spine fragment",2
"NUMEROUS FRAG SPECIMENS",2
"numerous limb elements",2
"numerous molar fragments",2
"numerous postcranial fragments",2
"oak leaf galls",2
"OBSCURE FRAG",2
"OCCIPITAL CONDYLES & BASIOCCIPITAL",2
"occipital frag",2
"OCCIPITAL FRAG",2
"occipital fragment",2
"occipital region of skull",2
"OLECRANON",2
"olecranon process",2
"opercular",2
"OPERCULAR FRAG",2
"OPERCULUM; NC",2
"ossicles",2
"ossified element",2
"OSTEODERM FRAGS,TOOTH",2
"OSTEODERM FRAGS,VERTEBRA",2
"OSTEODERM FRAGS,VERTEBRA FRAG",2
"OSTEODERM FRAG,TEETH,VERTEBRA FRAG",2
"Osteoderms",2
"osteoderms (3)",2
"osteoderms (5)",2
"osteoderms+bone, assoc",2
"osteoderms, bone frags",2
"OSTEODERM SLIDE",2
"OSTEODERMS, LIMB BONE FRAGS",2
"osteoderms, misc",2
"osteoderms+misc bone",2
"OSTEODERMS,PECTORAL SPINE FRAGS",2
"osteoderm spine",2
"OSTEODERMS,TEETH,VERTEBRAE,SKULL FRAGS",2
"OSTEODERMS,VERTEBRAE,TEETH",2
"osteoderms+vertebra, unassoc",2
"OSTEOSCUTE",2
"OSTERDERM",2
"OSTOEDERM FRAGS",2
"ostracod",2
"other (capsule); whole animal (pointed); whole animal (pointed)",2
"other (carded)",2
"other (ethanol); whole animal (ethanol); tissue (95% ethanol: vapor phase nitrogen); tissue (95% ethanol: vapor phase nitrogen); tissue (frozen: vapor phase nitrogen)",2
"other (plaster cast)",2
"otic fragment",2
"OTIC REGION OF SKULL",2
"Oversized; Thin sections no remnants",2
"Oversized; Unsectioned",2
"/P?",2
"P/#?",2
"P/1",2
"P10",2
"P10?",2
"p1, left",2
"P1, left",2
"/P1-M3",2
"P1/-M3/",2
"P1 or 2",2
"p1 or p2, broken",2
"P1-P2/",2
"p1, right",2
"/P2-3",2
"P2-3/",2
"P2-4/",2
"/P2 FRAG",2
"P2/ FRAG",2
"P2 fragment",2
"/P2-M1",2
"P/2-M/1",2
"p2-m3 (associated)",2
"P2 or 3",2
"p/2 or p/3",2
"/P2 OR /P3",2
"P2/,P3/",2
"P2-P3 in maxilla fragment",2
"P/2-P/3-P/4-M/1-M/2-M/3",2
"p2-p4",2
"p3-4",2
"P3-4/ or M1-2/",2
"P/3 | Cast",2
"/P3 FRAG",2
"P3/ FRAG",2
"P3 fragment",2
"p3, left",2
"P/3, M#/",2
"p3-m1 in dentary fragment",2
"p3-m2",2
"P3/-M2/",2
"p3-m2 (associated)",2
"P/3-M/2 | Cast",2
"P3/-M3/",2
"P/3-M/3 | Cast",2
"P3/-M3/ | Cast",2
"/P3-M4",2
"P3/-M4/",2
"P3/ OR P2/",2
"p/3 or p/4",2
"P3/ OR P4/",2
"P/3-P/4, M/1",2
"P3-P4?, M1-M3",2
"/P3-P4+M2",2
"p3's+p4's",2
"_ P4/",2
"/P 4",2
"P4, anterior half",2
"P/4 frag.",2
"P/4, FRAG",2
"P4 FRAG ?/",2
"p4 in dentary fragment",2
"p4 left",2
"P4 left",2
"P4, left",2
"/P4,/M",2
"P4/, M#/",2
"P4/,/M",2
"P4/,M/",2
"/P4,/M1",2
"P4/,/M1",2
"P/4-M/1, JAW",2
"P4?, M1-M2",2
"P/4-M/1-M/2-M/3",2
"/P4,/M2",2
"P4/, M2/",2
"P4/,M2/",2
"p4-m3",2
"P4-M3",2
"P4 or M1",2
"P/4orM/1or2",2
"P4 or Mx",2
"/P4,P4/",2
"p4, prob deciduous",2
"P4, right",2
"P4, worn",2
"p5",2
"P5 or P6",2
"P7 or P8",2
"P8?, juvenile",2
"PADDLE",2
"paired premaxilla",2
"PAIRED PREMAXILLA",2
"palatal frag. w/ teeth",2
"palatal jaw",2
"palatal jaw frag.",2
"palatal tooth plate",2
"palatal tooth plates",2
"Palate",2
"PALATE, ANTERIOR PART",2
"?palate fragment",2
"PALATE, L M1/-M2/, R M1/",2
"PALATE, M1/-M2/",2
"PALATE, M2/",2
"PALATE,R DENTARY",2
"PALATE, R JAW, L JAW",2
"PALATE: R & L P4/-M2/",2
"palate teeth",2
"PALATE W C-M3",2
"PALATE WITH L M1/-M3/ & R M2/-M3/",2
"PALATE WITH L P3/-M1/",2
"PALATE WITH L & R M1/-M2/",2
"PALATE WITH T#/",2
"PALATE W M2-M3",2
"palate w/ most upper teeth",2
"PALATE W P1-M3",2
"PALATE W P4+M2",2
"PALATE W R+L P3-M3",2
"palatine bone?",2
"palatine fragment",2
"Palatine fragment",2
"palatoquadrate cartilage fragment",2
"paper shale",2
"parabasisphenoid complex",2
"PARAMEDIAL AND OSTEODERM FRAGS",2
"PARAMEDIAL OSTEODERMS",2
"paramedian osteoderm fragments",2
"paramedian plate fragments",2
"PAREITAL",2
"parietal/postparietal",2
"parietals",2
"PARIETALS, NC",2
"parieto-ethmoidal shield",2
"PAROCCIPITAL",2
"part and counterpart shell",2
"part/counterpart; cast",2
"partial",2
"partial adult cranium",2
"partial animal (70% ethanol); partial animal (70% ethanol)",2
"partial animal (95% ethanol); partial animal (95% ethanol); partial animal (95% ethanol); partial animal (95% ethanol); partial animal (95% ethanol); partial animal (95% ethanol); partial animal (95% ethanol); partial animal (95% ethanol); partial animal (95% ethanol); partial animal (95% ethanol)",2
"partial animal (95% ethanol); partial animal (95% ethanol); partial animal (95% ethanol); partial animal (95% ethanol); partial animal (95% ethanol); partial animal (95% ethanol); partial animal (95% ethanol); partial animal (95% ethanol); partial animal (95% ethanol); partial animal (95% ethanol); partial animal (95% ethanol); partial animal (95% ethanol)",2
"partial animal: abdomen (ethanol); partial animal: wings (envelope); partial animal: body (ethanol: -80°C)",2
"partial animal: abdomen (pointed)",2
"partial animal (alcohol)",2
"partial animal (dry); partial animal (dry)",2
"partial animal: legs (envelope); partial animal (pinned); DNA (frozen)",2
"partial animal: legs (ethanol: -80°C)",2
"partial animal: legs (ethanol: -80°C); partial animal (pinned); genitalia (microscope slide)",2
"partial animal: legs (ethanol: -80°C); pupal exuvia (carded); partial animal (pinned)",2
"partial animal (microscope slide); DNA (frozen); DNA (frozen); whole animal (95% ethanol); DNA (frozen); DNA (frozen); DNA (frozen); DNA (frozen)",2
"partial animal (pinned); genitalia (pinned)",2
"partial animal (pinned); partial animal: abdomen (pinned)",2
"partial animal (pinned); partial animal: legs (carded)",2
"partial animal (pinned); partial animal: legs (ethanol)",2
"partial animal (SEM stub); partial animal (dry)",2
"partial animal (SEM stub); partial animal (SEM stub)",2
"partial animal: tissue (95% ethanol: vapor phase nitrogen)",2
"partial animal: tissue (RNAlater: vapor phase nitrogen); partial animal: tissue (RNAlater: vapor phase nitrogen)",2
"partial animal: wings (envelope); whole animal (pinned)",2
"partial animal: wings (pinned)",2
"PARTIAL ANTLER",2
"PARTIAL ARTICULATED FISH, A+B",2
"?partial astragalus",2
"PARTIAL ATLAS",2
"partial blade tooth",2
"partial bridge peripheral",2
"partial caudal verterba",2
"partial cheek teeth",2
"partial claw",2
"partial costal plates",2
"partial cranium+dentaries",2
"partial cranium+dentaries in articulation",2
"partial cranium w l+r P3-4, M1-2",2
"partial cranium w l+r P3-4, M1-3",2
"partial cranium w l+r P4, M1-3",2
"partial crusher plates",2
"partial dental battery - tooth row",2
"partial dental pavements",2
"partial dentaries, lower cheek teeth",2
"Partial dentary",2
"partial dentary w m1-2",2
"partial dentary w m3",2
"partial dentary w m3-4",2
"partial dentary w p2-3",2
"partial dentary w partial cheek tooth",2
"partial distal epiphysis of right tibia",2
"partial distal humerus",2
"partial distal phalanx III",2
"partial dorsal spines",2
"PARTIAL DORSAL VERTEBRA",2
"partial echinoid",2
"partial epiplastron",2
"partial ethmoid-vomer",2
"PARTIAL FEMUR",2
"partial fin",2
"partial fin spine",2
"PARTIAL FISH A+B",2
"partial fish skull",2
"PARTIAL FISH, SMALL",2
"partial foot",2
"PARTIAL FOOT",2
"PARTIAL FOREFOOT",2
"partial head",2
"PARTIAL HEAD, A+B",2
"PARTIAL HIND FOOT (LOT #)",2
"partial hyomadinbular",2
"partial incisors",2
"PARTIAL JAW 1 T/#",2
"PARTIAL JAW, 2 ISOLATED TEETH",2
"PARTIAL JAW, 2 T/#",2
"PARTIAL JAW | Cast",2
"partial jaw fragment",2
"PARTIAL JAW, L M/1-M/2",2
"PARTIAL JAW, L M/3",2
"PARTIAL JAW, L P/2-M/3",2
"PARTIAL JAW, L P/3-M/3",2
"PARTIAL JAW, L P/4-M/1",2
"PARTIAL JAW L P/4-M/3",2
"PARTIAL JAW, M/1",2
"PARTIAL JAW, M/3-M/4",2
"PARTIAL JAW RAMUS WITH 3 T/#",2
"PARTIAL JAW, R M/1-M/2",2
"PARTIAL JAW, R P/3",2
"PARTIAL JAW WITH M/#",2
"PARTIAL JAW WITH T/#",2
"PARTIAL JAW WITH T/# | Cast",2
"PARTIAL JAW WITH TEETH | Cast",2
"partial lateral",2
"partial lateral ethmoid",2
"partial lateral metapodial",2
"partial lateral scute",2
"PARTIAL L CARPOMETACARPUS",2
"partial L dentary",2
"partial l dentary w dp3-4, m1",2
"partial l dentary w dp3-4, m1-2",2
"partial l dentary w dp4, m1",2
"partial l dentary w half of m2, m3-4",2
"partial l dentary w m2-3; in two pieces",2
"partial l dentary w molar",2
"partial l dentary w one molar",2
"partial l dentary w p2",2
"partial l dentary w p3",2
"partial l dentary w partial i3, c1, p3-4, m1-3",2
"partial l dentary w partial m1, m2",2
"partial l dentary w two molars",2
"PARTIAL L DP/4",2
"partial left articular",2
"partial left femur",2
"partial left hypoplastron",2
"partial left illium",2
"partial left innominate",2
"PARTIAL LEFT MAXILLA",2
"partial left neurocranium",2
"partial left opercular",2
"partial left pelvis",2
"partial left prootic",2
"partial left upper molar",2
"PARTIAL L I/1 IN DENTARY",2
"PARTIAL L ILIUM",2
"PARTIAL L JAW, M/3",2
"PARTIAL L JAW RAMUS, M/2",2
"PARTIAL L JAW WITH M/1",2
"PARTIAL L JAW WITH P/4-M/2",2
"PARTIAL L JAW WITH P/4-M/3",2
"partial l juvenile dentary w dp2-3",2
"partial l juvenile dentary w dp2-4",2
"partial l juvenile maxilla w dP4, M1",2
"PARTIAL L M/1",2
"PARTIAL L M1/",2
"PARTIAL L M/1 OR M/2",2
"PARTIAL L M3/",2
"PARTIAL L M/3 IN DENTARY FRAG",2
"partial l maxilla w M1",2
"partial l maxilla w M2",2
"partial l maxilla w M3",2
"partial l maxilla w P1-4",2
"partial l maxilla w P2-3",2
"partial l maxilla w P2-4, M1-3",2
"partial l maxilla w three cheek teeth",2
"partial lower tooth",2
"partial L peripheral 7",2
"partial l+r dentaries (contain several cheek teeth",2
"partial l scapula",2
"partial l upper cheek tooth",2
"PARTIAL M/#",2
"partial m1",2
"partial m/1",2
"partial M2",2
"partial m3",2
"PARTIAL M/3",2
"partial maxilla w M2-3",2
"partial maxilla w P4, M1",2
"partial maxilla w three cheek teeth",2
"partial maxilla w two premolars",2
"PARTIAL MAX & JAWS",2
"PARTIAL MAX, T#/",2
"PARTIAL MAX WITH L P3/-M3/ | Cast",2
"partial medial phalanx",2
"partial metapodials",2
"partial molars",2
"partial molar tooth",2
"partial Mx/",2
"partial nasal",2
"PARTIAL NEURAL ARCH",2
"partial  osteoderm",2
"partial osteoderm in 2 pieces",2
"partial osteroderm",2
"partial ostioderm",2
"partial P2",2
"partial P3 or P4",2
"partial P4/",2
"partial palate",2
"partial paramedial osteoderm",2
"partial pharangeal arches w/teeth",2
"PARTIAL PLASTRON",2
"partial plastron+assoc carapace frags",2
"partial plastron+ carapace",2
"PARTIAL PLASTRON & CARAPACE",2
"partial plastron, carapace frags",2
"partial posterior process of petrosal",2
"partial premolar in dentary fragment",2
"partial proximal R humerus",2
"partial prox phalanx III",2
"partial pterogiophore",2
"partial radio-ulna",2
"partial r calcaneum",2
"PARTIAL R CARPOMETACARPUS",2
"partial r dentary w c1, p2-4, m1-2",2
"partial r dentary w dp2-4, m1",2
"partial r dentary w dp3-4, m1",2
"partial r dentary w four cheek teeth",2
"partial r dentary w i1, m1-3",2
"partial r dentary w i3, c1, p3-4, m1",2
"partial r dentary w incisor, p4",2
"partial r dentary w m1-2, partial m3",2
"partial r dentary w molar",2
"partial r dentary w one+a half molars",2
"partial r dentary w one molar",2
"partial r dentary w p4, partial m1",2
"partial r dentary w partial m1, m2",2
"partial r dentary w partial m3",2
"partial r dentary w premolar",2
"partial r dentary w three molariform teeth",2
"partial r dentary w two fragmentary cheek teeth",2
"partial R hypoplastron",2
"partial r i1",2
"PARTIAL R I1/",2
"partial right articular",2
"Partial right dentary",2
"partial right femur",2
"partial right frontals",2
"partial right lateral ethmoid",2
"PARTIAL RIGHT MAXILLA",2
"partial right metatarsal I",2
"partial right opercular",2
"partial right tympanic",2
"PARTIAL R JAW, P/2-M/2",2
"PARTIAL R JAW, P/4-M/2",2
"PARTIAL R JAW, P/4-M/3",2
"PARTIAL R JAW WITH M/1",2
"PARTIAL R JAW WITH M/3",2
"partial r juvenile dentary (dp2-4, m1",2
"PARTIAL R M/#",2
"PARTIAL R M#/",2
"partial r M2",2
"partial r m3 in dentary fragment",2
"partial R maxilla",2
"partial r maxilla w four cheek teeth",2
"partial r maxilla w M1-4",2
"partial r maxilla w M2",2
"partial r maxilla w P2-4",2
"partial r maxilla w P2-4, M1-2",2
"partial r maxilla w P2-4, M1-3",2
"partial r maxilla w P3-4, M1",2
"partial r maxilla w P3-4, M1-2",2
"partial r maxilla w P3, M1-3",2
"partial r maxilla w partial M1-2",2
"partial r p4",2
"PARTIAL R P4/ IN MAXILLA FRAG",2
"partial R peripheral 3",2
"partial R peripheral 7",2
"partial r scapula",2
"PARTIAL R SCAPULA",2
"PARTIAL SCAPULA",2
"partial scapula-coracoid",2
"partial scapulae",2
"Partial shell",2
"partial shells",2
"partial skeleton (9 pieces)",2
"partial skeleton (juvenile)",2
"PARTIAL SKELETON, JUVENILE",2
"partial skeleton, part and counterpart",2
"PARTIAL SKELETON, PART & COUNTERPART",2
"partial skeleton (subfossil); partial skeleton (subfossil); partial skeleton (subfossil); partial skeleton (subfossil); partial skeleton (subfossil); partial skeleton (subfossil); partial skeleton (subfossil); partial skeleton (subfossil); partial skeleton (subfossil); partial skeleton (subfossil); partial skeleton (subfossil); partial skeleton (subfossil)",2
"PARTIAL SKELETON WITH SKULL, L JAW, R JAW",2
"PARTIAL SKULL, 2 R JAWS",2
"PARTIAL SKULL, ALL T#/, ZYGOMATIC ARCHES COMPLETE",2
"partial skull and mandible",2
"partial skull and vertebrae",2
"partial skull element",2
"partial skull in concretion",2
"partial skull & jaw",2
"PARTIAL SKULL & JAWS | Cast",2
"PARTIAL SKULL, L JAW",2
"PARTIAL SKULL, L M1/-M3/, R M1/-M2/",2
"PARTIAL SKULL, R M2/-M3/",2
"PARTIAL SKULL, R MAX",2
"PARTIAL SKULL & T#/",2
"partial skull+vertebrae",2
"PARTIAL SKULL WITH L M1/-M3/",2
"PARTIAL SKULL WITH L M1/-M3/ & R M1/-M2/",2
"PARTIAL SKULL WITH R M1/-M3/ & L M1/-M2/",2
"PARTIAL SKULL WITH R M1/-M3/, L M1/-M2/",2
"partial snout",2
"PARTIAL SPECIMEN, P+C",2
"Partial spine",2
"partial spines",2
"PARTIAL STERNUM",2
"PARTIAL TARSUS",2
"partial  teeh",2
"PARTIAL TIBIA",2
"partial tusk",2
"partial upper left pharyngeal",2
"partial upper M",2
"PARTIAL VERTEBRAE",2
"partial vertebral spine",2
"partila juv shell",2
"part of skull",2
"PART OF SKULL & SKELETON",2
"PART OF SPINE",2
"part skeleton",2
"PART SKULL",2
"part skull, vertebrae",2
"PARTS OF SKULL & POSTCRANIAL SKELETON",2
"part upper molar",2
"PATCH OF SCALES",2
"Patellae",2
"Patella frag",2
"PATELLA FRAG",2
"patella fragment",2
"pectoral fin spine",2
"pectoral spines",2
"pectoral vertebra",2
"pedal elements, assoc",2
"pedal phalange",2
"pedal phalanx 1-IV",2
"pedal phalanx III-1",2
"pedal ungual",2
"pedal ungual phalanx",2
"pedial phalanyx",2
"Peel - 6",2
"Peels; Slides",2
"Peels with remnants; Thin sections no remnants; Unsectioned",2
"Pellets",2
"Pelves",2
"PELVES",2
"PELVIC BONE",2
"pelvic frags. (mid-line)",2
"PELVIC GIRDLES, A+B",2
"PELVIC PLATE, NC",2
"?Pelvis Frag",2
"PELVIS FRAG ?",2
"pelvis frags.",2
"PELVIS & LIMB FRAGS",2
"penultimate Px",2
"PERIOTIC ?",2
"periotic frag",2
"periotic fragment",2
"Peripheral",2
"peripheral 4",2
"PERIPHERAL 4?",2
"peripheral 4 partial",2
"peripheral 6 frags",2
"peripheral 9 or 10",2
"PERIPHERAL,COSTAL FRAG",2
"PERIPHERAL FRAG,COSTAL FRAG",2
"peripheral fragments",2
"Peripheral frags",2
"peripheral frags (3)",2
"peripheral frags, ?assoc",2
"Peripherals",2
"peripherals 1-2",2
"peripherals (3)",2
"peripherals, assoc",2
"peripherals, ? assoc",2
"peripherals, juv",2
"peripherals, juv (2)",2
"Permineralization - 105",2
"Permineralization - 142",2
"Permineralization - 17",2
"Permineralization - 189",2
"Permineralization - 190",2
"Permineralization - 27",2
"Permineralization - 33",2
