"index.family","reps"
"caprinidae",141
"cheliferidae",141
"cochlespiridae",141
"hesperonomiidae",141
"multisparsidae",141
"oncousoeciidae",141
"psychocidaridae",141
"theciidae",141
"amphistrophiidae",140
"araksalosiidae",140
"bitectiporidae",140
"dyscoliidae",140
"eospongiidae",140
"plagioptychidae",140
"spiloblattinidae",140
"theroteinidae",140
"aegialodontidae",139
"anapidae",139
"chlidonophoridae",139
"cochliopidae",139
"diamantomyidae",139
"globigerinelloididae",139
"maldanidae",139
"percophidae",139
"platidiidae",139
"selenopidae",139
"eudesiidae",138
"gaudryceratidae",138
"gobiesocidae",138
"zapodidae",138
"ammosphaeroidinidae",137
"dyscritellidae",137
"porcellionidae",137
"rhabdocidaridae",137
"schloenbachiidae",137
"tienodictyidae",137
"blechnaceae",136
"hebetoechiidae",136
"mastodonsauridae",136
"mitrocystitidae",136
"palaeopalaemonidae",136
"planariidae",136
"ptilonorhynchidae",136
"tubuliporidae",136
"zoroasteridae",136
"leanchoiliidae",135
"ophiletidae",135
"sinuopeidae",135
"sternopygidae",135
"barleeiidae",134
"decadocrinidae",134
"ephippidae",134
"palaeocystitidae",134
"tettigoniidae",134
"todidae",134
"acastidae",133
"humboldtianidae",133
"lambelasmatidae",133
"laternulidae",133
"lemuridae",133
"philopotamidae",133
"ptenophyllidae",133
"araceae",132
"argonautidae",132
"bythitidae",132
"cirolanidae",132
"planorbulinidae",132
"belemnopseidae",131
"cerastidae",131
"columnal",131
"discorbinellidae",131
"hindiidae",131
"ichthyosauridae",131
"montlivaltiidae",131
"pleurodiscidae",131
"sibiritidae",131
"sinuitidae",131
"benthesicymidae",130
"carcinosomatidae",130
"chonostrophiidae",130
"hexagrammidae",130
"meliosmaceae",130
"tornoceratidae",130
"arsinoitheriidae",129
"cetoniidae",129
"chirostylidae",129
"cymothoidae",129
"galagidae",129
"hadrorhynchiidae",129
"hemiphragmoceratidae",129
"neoscopelidae",129
"otoitidae",129
"plumatellidae",129
"psolidae",129
"tritaxiidae",129
"cladiscitidae",128
"diplopodiidae",128
"emiratiidae",128
"luidiidae",128
"aramidae",127
"astrocrinidae",127
"globotextulariidae",127
"paragastrioceratidae",127
"ribeiriidae",127
"sepiaphoridae",127
"sphaeroceratidae",127
"spirobolidae",127
"aphelaspididae",126
"ephydridae",126
"glyceridae",126
"morganucodontidae",126
"quasillitidae",126
"trigonoceratidae",126
"bothriembryontidae",125
"caprifoliaceae",125
"girtyoceratidae",125
"hesionidae",125
"hydrophiidae",125
"kaolishaniidae",125
"spongodiscidae",125
"tarsiidae",125
"tetragonitidae",125
"xanthorrhoeaceae",125
"actinommidae",124
"alestidae",124
"alveolinidae",124
"ammodytidae",124
"balognathidae",124
"cymbaloporidae",124
"frenulinidae",124
"idoteidae",124
"macrocyprididae",124
"quadrijugatoridae",124
"seguenziidae",124
"adolfiidae",123
"bryconidae",123
"cyprididae",123
"helixarionidae",123
"hipponicharionidae",123
"lithodidae",123
"notacanthidae",123
"pentaphylacaceae",123
"phyllostomatidae",123
"triisodontidae",123
"chiloguembelinidae",122
"chirocephalidae",122
"coenitidae",122
"coleodontidae",122
"edaphosauridae",122
"gonodactylidae",122
"mastacembelidae",122
"oreodontidae",122
"picrodontidae",122
"stenothyridae",122
"strongylocentrotidae",122
"therizinosauridae",122
"callitrichidae",121
"dictyopharidae",121
"emeidae",121
"fulgoridae",121
"glyptocystitidae",121
"hyperoblastidae",121
"lepidorbitoididae",121
"lineidae",121
"nowakiidae",121
"ptychatractidae",121
"sigalionidae",121
"stictostromatidae",121
"stylasteridae",121
"actinostromatidae",120
"argentinidae",120
"chiridotidae",120
"cyrtolitidae",120
"limnichidae",120
"ophiacodontidae",120
"peucedramidae",120
"rhagionidae",120
"streptacididae",120
"tempskyaceae",120
"asterigerinidae",119
"callyspongiidae",119
"caponiidae",119
"cheilocephalidae",119
"christianiidae",119
"lahillidae",119
"lecanitidae",119
"protasteridae",119
"ranunculaceae",119
"reussellidae",119
"roveacrinidae",119
"staffellidae",119
"synerocrinidae",119
"tristichopteridae",119
"ceratophyllaceae",118
"channidae",118
"cryptophagidae",118
"erpobdellidae",118
"mobulidae",118
"omosudidae",118
"paliphyllidae",118
"pteraspididae",118
"verbeekinidae",118
"anthracosiidae",117
"atherinidae",117
"myledaphidae",117
"remingtonocetidae",117
"septoporidae",117
"weymouthiidae",117
"chthoniidae",116
"haplistiidae",116
"homolidae",116
"lumbricidae",116
"molidae",116
"ornithomimidae",116
"osteolepidae",116
"sandcoleidae",116
"symphysanodontidae",116
"kraussinidae",115
"lepetidae",115
"linophrynidae",115
"lunulacardiidae",115
"notodontidae",115
"olcostephanidae",115
"phylloporinidae",115
"symplocaceae",115
"asteroxylaceae",114
"eouvigerinidae",114
"ichthyornithidae",114
"leocrinidae",114
"leptocytheridae",114
"leptolepidae",114
"lygaeidae",114
"marsileaceae",114
"nelumbonaceae",114
"orthidiellidae",114
"trichomycteridae",114
"zygaenidae",114
"crellidae",113
"dicksoniaceae",113
"echinidae",113
"harpididae",113
"lystrosauridae",113
"mitromorphidae",113
"necrocarcinidae",113
"numididae",113
"oedemeridae",113
"palaeochiropterygidae",113
"themistidae",113
"tindariidae",113
"vidrioceratidae",113
"amberleyidae",112
"anobasicrinidae",112
"aromobatidae",112
"beyrichitidae",112
"candidae",112
"coosellidae",112
"dasycladaceae",112
"fabrosauridae",112
"glasbiidae",112
"lichenoporidae",112
"linotaeniidae",112
"megachasmidae",112
"meganterididae",112
"monopteriidae",112
"nucularcidae",112
"rhineuridae",112
"apiaceae",111
"archaeocrinidae",111
"cadoceratidae",111
"diphuicrinidae",111
"distichodontidae",111
"liparoceratidae",111
"phytoseiidae",111
"scophthalmidae",111
"sphenodontidae",111
"trechaleidae",111
"aphroditidae",110
"clypeidae",110
"combretaceae",110
"gonambonitidae",110
"proteusitidae",110
"pulchrilaminidae",110
"subrianidae",110
"amphibulimidae",109
"cyprideidae",109
"ellipsocephaloididae",109
"kleopatrinidae",109
"kyphosidae",109
"mattheviidae",109
"merluccidae",109
"mixodectidae",109
"myelodactylidae",109
"notohippidae",109
"obturamentellidae",109
"pachydomellidae",109
"potamidae",109
"pseudarchasteridae",109
"sisyridae",109
"urasterellidae",109
"vangidae",109
"ellipsocephalidae",108
"icriodontidae",108
"pipunculidae",108
"stellarocrinidae",108
"therevidae",108
"thorectidae",108
"aesiocrinidae",107
"amphibamidae",107
"centrolophidae",107
"cerastuidae",107
"lituitidae",107
"microstomatidae",107
"soleidae",107
"textulariellidae",107
"trigoniulidae",107
"cetomimidae",106
"chaunacidae",106
"conopophagidae",106
"furcasteridae",106
"horaiclavidae",106
"megalodontidae",106
"pachycephalosauridae",106
"parmeliaceae",106
"pelmatoporidae",106
"thaumatocyprididae",106
"triconodontidae",106
"andrarinidae",105
"campanilidae",105
"coeloceratidae",105
"distacodontidae",105
"dryophthoridae",105
"flatidae",105
"gomphidae",105
"hollinellidae",105
"hystricidae",105
"narcinidae",105
"phillipsastreidae",105
"uranoscopidae",105
"campanulaceae",104
"coccolithaceae",104
"eucytheridae",104
"halobiidae",104
"holoptychiidae",104
"hyperolidae",104
"isogrammidae",104
"leiosauridae",104
"lingulasmatidae",104
"micrabaciidae",104
"mycetopodidae",104
"patellinidae",104
"scyllaridae",104
"selkirkiidae",104
"thelypteridaceae",104
"ulidiidae",104
"cf. unionidae",103
"cyathaspididae",103
"cyclocystoididae",103
"echinoencrinitidae",103
"galaxiidae",103
"irenidae",103
"myxinidae",103
"prolagidae",103
"rhipiphoridae",103
"rhyacophilidae",103
"sagartiidae",103
"tenuipalpidae",103
"tournayellidae",103
"ventriculitidae",103
"zalambdalestidae",103
"aeshnidae",102
"archaediscidae",102
"armadillidiidae",102
"cirrhitidae",102
"dissorophidae",102
"dyrosauridae",102
"entomobryidae",102
"hiodontidae",102
"hylodidae",102
"panuridae",102
"pectunculidae",102
"pontoporiidae",102
"pyrgodesmidae",102
"buffonellodidae",101
"capitosauridae",101
"dactylocalycidae",101
"eobrachyopidae",101
"eryonidae",101
"fistulariidae",101
"hyperiidae",101
"pectocytheridae",101
"phoeniculidae",101
"robertinidae",101
"sagenocrinitidae",101
"trapeziidae",101
"zhelestidae",101
"adrianitidae",100
"glomeridae",100
"glyptomenidae",100
"lithoglyphidae",100
"macrosphenidae",100
"monoscutidae",100
"neocomitidae",100
"orbitoididae",100
"raphidiidae",100
"rugoglobigerinidae",100
"saurodontidae",100
"silphidae",100
"uropeltidae",100
"anthomyzidae",99
"asterinidae",99
"chirotheriidae",99
"cobitidae",99
"collyritidae",99
"corallinaceae",99
"amaranthaceae",98
"gillediidae",98
"gomphocystitidae",98
"hemitripteridae",98
"inocaulidae",98
"melandryidae",98
"palaeophiidae",98
"pliopithecidae",98
"proctotrupidae",98
"sepiolidae",98
"solenochilidae",98
"birkeniidae",97
"clionidae",97
"corduliidae",97
"isididae",97
"lauxaniidae",97
"mysidae",97
"olpiidae",97
"oxyaenidae",97
"platyrhacidae",97
"polynemidae",97
"psammosphaeridae",97
"psychrolutidae",97
"aegithinidae",96
"dimyidae",96
"fimbriidae",96
"giganturidae",96
"hexapterospermaceae",96
"parapaguridae",96
"placopsilinidae",96
"siboglinidae",96
"apteronotidae",95
"carinariidae",95
"eopteriidae",95
"helodontidae",95
"metagnostidae",95
"ophiderpetontidae",95
"parasuchidae",95
"plasmoporidae",95
"polymorphitidae",95
"promopalaeasteridae",95
"psammodontidae",95
"austrognathiidae",94
"brachycephalidae",94
"brentidae",94
"camerinidae",94
"hybocrinidae",94
"lunulitidae",94
"myrmecophagidae",94
"neurankylidae",94
"palaelodidae",94
"palaeotrochidae",94
"phiomyidae",94
"pongidae",94
"prolixoplectidae",94
"protocetidae",94
"pterothecidae",94
"scombrolabracidae",94
"texacrinidae",94
"ancistrorhynchidae",93
"caulerpaceae",93
"chelopteridae",93
"eulophidae",93
"farreidae",93
"gadilinidae",93
"heterodontidae",93
"indianidae",93
"kirkocystidae",93
"pachyrhizodontidae",93
"phalacromidae",93
"phalangodidae",93
"schubertellidae",93
"tritylodontidae",93
"apheloneuridae",92
"archeocrypticidae",92
"bolivinoididae",92
"clambidae",92
"curticiidae",92
"diaperoeciidae",92
"diastomatidae",92
"gymnotidae",92
"hippothoidae",92
"hirudinidae",92
"ipnopidae",92
"macraucheniidae",92
"mogoplistidae",92
"neobisiidae",92
"oryidae",92
"polycidaridae",92
"pteromalidae",92
"stegonolepididae",92
"thalattosauridae",92
"batrachopodidae",91
"botryocrinidae",91
"bourgueticrinidae",91
"eutypomyidae",91
"hapalidiaceae",91
"indriidae",91
"perrinitidae",91
"retroplumidae",91
"romancheinidae",91
"scelionidae",91
"schendylidae",91
"scissurellidae",91
"biantidae",90
"centriscidae",90
"coskinolinidae",90
"hemimylacridae",90
"hubbardiidae",90
"marsupiocrinidae",90
"metacheiromyidae",90
"pseudoudoteaceae",90
"ricciaceae",90
"thyrsopteridaceae",90
"tvaerenellidae",90
"agathotanaidae",89
"cellariidae",89
"dictyocyathidae",89
"dorvilleidae",89
"electridae",89
"heteroporidae",89
"malleidae",89
"masaridae",89
"megapodiidae",89
"melagathiceratidae",89
"ommastrephidae",89
"otididae",89
"psiloceratidae",89
"styracaceae",89
"torynelasmatidae",89
"trachipteridae",89
"anthribidae",88
"aphelidesmidae",88
"asteroschematidae",88
"conotylidae",88
"echinasteridae",88
"ischyromidae",88
"ophidiasteridae",88
"oxycorynidae",88
"pelagornithidae",88
"pellatispiridae",88
"procolophonidae",88
"scydmaenidae",88
"spiral",88
"temnopleuridae",88
"tephrodornithidae",88
"throscidae",88
"atlantidae",87
"bairdiocyprididae",87
"bathycheilidae",87
"bimuriidae",87
"chrysochloridae",87
"gephuroceratidae",87
"iguanodontidae",87
"neodimorphoceratidae",87
"protozygidae",87
"pteranodontidae",87
"rhabdinoporidae",87
"brachycycloceratidae",86
"caraboctonidae",86
"cerioporidae",86
"diaspididae",86
"escharinidae",86
"euretidae",86
"leiognathidae",86
"planomalinidae",86
"postepithyrididae",86
"pselaphidae",86
"raymondinidae",86
"solanaceae",86
"stemmiulidae",86
"stygnopsidae",86
"tropidocoryphidae",86
"ammotrechidae",85
"brachymetopidae",85
"capitonidae",85
"carphodactylidae",85
"clydonautilidae",85
"cyclolitidae",85
"cyematidae",85
"dipluridae",85
"gorgonocephalidae",85
"hatellidae",85
"hazeliidae",85
"hydroptilidae",85
"loboidothyrididae",85
"mysmenidae",85
"pterodactylidae",85
"thinocoridae",85
"antroporidae",84
"entalophoridae",84
"hyalonematidae",84
"hymenocarididae",84
"lepidostomatidae",84
"lyonsiellidae",84
"psilotaceae",84
"sibyrhynchidae",84
"trimusculidae",84
"ussuritidae",84
"acrochordidae",83
"aleyrodidae",83
"bignoniaceae",83
"cheirogaleidae",83
"gonioceratidae",83
"metacyathidae",83
"orectolobidae",83
"synbranchidae",83
"trichotropidae",83
"utrechtiaceae",83
"calamophylliidae",82
"caprellidae",82
"coelophysidae",82
"cupressocrinidae",82
"joannitidae",82
"laudonocrinidae",82
"mucophyllidae",82
"oriostomatidae",82
"pediculariidae",82
"popanoceratidae",82
"porcelliidae",82
"scirtidae",82
"stylephoridae",82
"tryblidiidae",82
"aegeridae",81
"ampharetidae",81
"aphrophoridae",81
"aristolochiaceae",81
"cuniculidae",81
"hapalocrinidae",81
"hemicyonidae",81
"himerometridae",81
"juncaginaceae",81
"naucoridae",81
"odontostomidae",81
"ophiocomidae",81
"paludomidae",81
"protocytheridae",81
"rhytidosteidae",81
"ampelocrinidae",80
"anniellidae",80
"astrapotheriidae",80
"blaniulidae",80
"drosophilidae",80
"galeritidae",80
"gibbithyrididae",80
"marathonitidae",80
"menaspidae",80
"palaeozygopleuridae",80
"rutelidae",80
"sphecidae",80
"aepyornithidae",79
"atyidae",79
"cardipeltidae",79
"hoplocercidae",79
"hybotidae",79
"inflaticornidae",79
"kyphophyllidae",79
"pantolambdidae",79
"parkinsoniidae",79
"aulostomidae",78
"carabocrinidae",78
"claroteidae",78
"dilleniaceae",78
"docodontidae",78
"ephedraceae",78
"flabelligeridae",78
"gigantactinidae",78
"glyptopleuridae",78
"gracillariidae",78
"poecilasmatidae",78
"protosirenidae",78
"pyrochroidae",78
"scutellinidae",78
"triopsidae",78
"tythothyrididae",78
"acavidae",77
"bolivinellidae",77
"brachyopidae",77
"chrysogorgiidae",77
"dipoloceratidae",77
"heleomyzidae",77
"helohyidae",77
"hollinidae",77
"miturgidae",77
"mycetophilidae?",77
"oreasteridae",77
"osphronemidae",77
"steginoporellidae",77
"symmoriidae",77
"tetracameridae",77
"apsidoceratidae",76
"carbactinoceratidae",76
"carybdeidae",76
"cetorhinidae",76
"condylocardiidae",76
"conorbinidae",76
"entolodontidae",76
"eriptychiidae",76
"flemingitidae",76
"heptaxodontidae",76
"hydrocenidae",76
"leptestiidae",76
"membracidae",76
"ophiomyxidae",76
"pandeidae",76
"pardalotidae",76
"petauridae",76
"prosopidae",76
"protostegidae",76
"rhipidothyrididae",76
"rhyniaceae",76
"amblypteridae",75
"aniliidae",75
"ankylosauridae",75
"anomoepodidae",75
"bathysiphonidae",75
"cryptacanthodidae",75
"digonophyllidae",75
"dosiniinae",75
"maizaniidae",75
"naviculaceae",75
"nemacheilidae",75
"nemastomatidae",75
"neolaganidae",75
"palaeobatrachidae",75
"placunidae",75
"prosopistomatidae",75
"ptycholepidae",75
"titanoecidae",75
"umbridae",75
"axinellidae",74
"bereniceidae",74
"chactidae",74
"corydalidae",74
"hypseloconidae",74
"longobarditidae",74
"lophogastridae",74
"odontoceridae",74
"pelecanoididae",74
"philomycidae",74
"pronoritidae",74
"santalaceae",74
"siluridae",74
"stethacanthidae",74
"thaerocytheridae",74
"xiphoteuthididae",74
"zosterophyllaceae",74
"alcyoniidae",73
"aulacoceratidae",73
"bombinatoridae",73
"caudinidae",73
"cheirolepididae",73
"cyclanthariidae",73
"dimorphoceratidae",73
"dugesiidae",73
"elassomatidae",73
"estonioceratidae",73
"eucnemidae",73
"flacourtiaceae",73
"glyphocrangonidae",73
"gymnitidae",73
"ischnacanthidae",73
"lethrinidae",73
"malacosteidae",73
"orthoceratidae?",73
"pectinariidae",73
"phascolarctidae",73
"piloceratidae",73
"pulsellidae",73
"somaliasteridae",73
"tineidae",73
"troglosironidae",73
"entalinidae",72
"geraniaceae",72
"laevidentaliidae",72
"lepadidae",72
"libytheidae",72
"pyrigiidae",72
"setarchidae",72
"triassuridae",72
"unassigned",72
"amabilicrinidae",71
"ambassidae",71
"arrenuridae",71
"caryocystitidae",71
"dinomyidae",71
"margarettidae",71
"omalogyridae",71
"philosciidae",71
"pseudomelaniidae",71
"rondeletiidae",71
"tanidromitidae",71
"tectariaceae",71
"trimeroceratidae",71
"tumidocarcinidae",71
"victoriellidae",71
"conucarpaceae",70
"cyatheaceae",70
"dialidae",70
"dictopteridaceae",70
"exechonellidae",70
"forficulidae",70
"guildayichthyidae",70
"heteroceratidae",70
"indicatoridae",70
"limnocytheridae",70
"limnoriidae",70
"mohoidae",70
"oecobiidae",70
"pasiphaeidae",70
"perisphincidae",70
"phoxichilidiidae",70
"phyllodontidae",70
"platycephalidae",70
"poterioceratidae",70
"sigilliariaceae",70
"sphaeriodesmidae",70
"alytidae",69
"aspidoceratidae",69
"burseraceae",69
"caryophyllaceae",69
"cecidomyidae?",69
"chrysopetalidae",69
"ctenomyidae",69
"deinotheriidae",69
"dromaiidae",69
"euplectellidae",69
"geyerophyllidae",69
"glabratellidae",69
"hadronectoridae",69
"hormathiidae",69
"hynobiidae",69
"mymaridae",69
"onocleaceae",69
"psophodidae",69
"scoliidae",69
"terapontidae",69
"torpedinidae",69
"abacionidae",68
"alagomyidae",68
"apiocrinidae",68
"archaeocyathidae",68
"blattidae",68
"botsfordiidae",68
"bougainvilliidae",68
"chapmaninidae",68
"crenuchidae",68
"cryptoporidae",68
"dieneroceratidae",68
"echinoneidae",68
"eldoniidae",68
"elkaniidae",68
"euscorpiidae",68
"gyrinidae",68
"hersiliidae",68
"nemipteridae",68
"ophthalmidiidae",68
"pennatulidae",68
"phorusrhacidae",68
"platypezidae",68
"rostratulidae",68
"sageceratidae",68
"tetrablemmidae",68
"timorechinidae",68
"zenionidae",68
"chaetodermatidae",67
"clavatoraceae",67
"cytheromatidae",67
"diapriidae",67
"elasmonematidae",67
"eutichuridae",67
"flabellinidae",67
"gasteropelecidae",67
"goniopholidae",67
"halichondriidae",67
"hemiprocnidae",67
"hermatostromatidae",67
"himantolophidae",67
"leioproductidae",67
"macrobaenidae",67
"platygastridae",67
"protohymenidae",67
"thalamoporellidae",67
"valvulamminidae",67
"apheliscidae",66
"arionidae",66
"bostrichidae",66
"bunomerycidae",66
"ceratopogonidae?",66
"chalinidae",66
"coelacanthidae",66
"cryptobranchidae",66
"diadematidae",66
"lonchidiidae",66
"malpighiaceae",66
"nothosauridae",66
"nototheniidae",66
"petraiidae",66
"phryganeidae",66
"plagioeciidae",66
"proasaphiscidae",66
"protocycloceratidae",66
"pseudotanaidae",66
"romingeriidae",66
"schizaeaceae",66
"spengelidae",66
"tiphiidae",66
"torymidae",66
"trigonocidaridae",66
"veronicellidae",66
"arenicolidae",65
"calopterygidae",65
"clinidae",65
"colossendeidae",65
"eriphiidae",65
"eurhinodelphidae",65
"hypopomidae",65
"iguanodectidae",65
"juliidae",65
"lepidocentridae",65
"munididae",65
"mycetophagidae",65
"perissityidae",65
"platysomidae",65
"productorthidae",65
"schilbeidae",65
"tribolbinidae",65
"xiphiidae",65
"zhanatellidae",65
"zopheridae",65
"acanthonematidae",64
"acrochordiceratidae",64
"acropeltidae",64
"alfredinidae",64
"bathycrinidae",64
"bryocryptellidae",64
"conopidae",64
"ectinosomatidae",64
"ektopodontidae",64
"etheripectinidae",64
"geodiidae",64
"melitidae",64
"micropternodontidae",64
"muensteroceratidae",64
"muraenesocidae",64
"pagetiidae",64
"polyodontidae",64
"porostromata",64
"protosuchidae",64
"pterotrigoniidae",64
"renillidae",64
"rhinotermitidae",64
"stygnidae",64
"teleost",64
"umbraculidae",64
"aequoreidae",63
"anomalepididae",63
"anoplocephalidae",63
"areostrophiidae",63
"atypidae",63
"caristiidae",63
"ceratopygidae",63
"coscinodiscaceae",63
"cynepteridaceae",63
"etyiidae",63
"gordiidae",63
"helicoplacidae",63
"lepidesthidae",63
"ligiidae",63
"nabidae",63
"neilonellidae",63
"parapedetidae",63
"phaneropleuridae",63
"phylacteridae",63
"protorothyrididae",63
"rivulidae",63
"sanguinolariidae",63
"schulerideidae",63
"solidobalanidae",63
"spondylospiridae",63
"trypostegidae",63
"anacanthobatidae",62
"antillocaprinidae",62
"apholidotidae",62
"asterigerinatidae",62
"beecherellidae",62
"colatooeciidae",62
"glyphocyphidae",62
"gymnodorididae",62
"hibbardellidae",62
"hudsonasteridae",62
"leioclemidae",62
"manaosbiidae",62
"manidae",62
"microporidae",62
"mylacridae",62
"petricolidae",62
"plectopylidae",62
"podargidae",62
"polycopidae",62
"ranorthidae",62
"solenoceridae",62
"spheniopsidae",62
"synotaxidae",62
"angariidae",61
"barrandeoceratidae",61
"bradypodidae",61
"chironomidae?",61
"endophyllidae",61
"knemiceratidae",61
"lagynocystidae",61
"merocrinidae",61
"miliamminidae",61
"octodontidae",61
"palorchestidae",61
"plerophyllidae",61
"potonieaceae",61
"priscaceae",61
"pristigasteridae",61
"siganidae",61
"unassigned trepostome genera",61
"zingiberaceae",61
"abrograptidae",60
"bohemillidae",60
"brassicaceae",60
"centropleuridae",60
"ceratomyidae",60
"clavulariidae",60
"dercetidae",60
"euchondriidae",60
"halysitidae",60
"hemiodontidae",60
"lysianassidae",60
"newtoniellidae",60
"pampatheriidae",60
"passaloteuthididae",60
"pygaulidae",60
"spirobolellidae",60
"strophopleuridae",60
"synallactidae",60
"titanoideidae",60
"anarhichadidae",59
"aplysinidae",59
"apseudidae",59
"caesionidae",59
"calamoceratidae",59
"conoclypidae",59
"donacobiidae",59
"fustiariidae",59
"goneplacidae",59
"scenellidae",59
"trogidae",59
"acanthogorgiidae",58
"blothrocrinidae",58
"bruchidae",58
"cephalaspididae",58
"chalcididae",58
"climacteridae",58
"cordaitanthaceae",58
"epedanidae",58
"hippidae",58
"horneridae",58
"involutinidae",58
"maretiidae",58
"mariametridae",58
"moeritheriidae",58
"ornithorhynchidae",58
"orthonematidae",58
"paleocyclidae",58
"pseudophoridae",58
"pseudothelphusidae",58
"pteridiniidae",58
"rhinochimaeridae",58
"schackoinidae",58
"svealutidae",58
"tuzoiidae",58
"upogebiidae",58
"zeidae",58
"aoridae",57
"calyptocephalellidae",57
"cambalidae",57
"corylophidae",57
"curculionidae?",57
"diplagnostidae",57
"echioceratidae",57
"idmoneidae",57
"isotomidae",57
"lelapiidae",57
"minuidae",57
"opheliidae",57
"oxynoticeratidae",57
"palaeothentidae",57
"pholidophoridae",57
"polycotylidae",57
"pycnostylidae",57
"scathophagidae",57
"struthionidae",57
"tetrataxidae",57
"trematobolidae",57
"triacanthodidae",57
"zatrachydidae",57
"aclididae",56
"amphoracrinidae",56
"antrodiaetidae",56
"ascalaphidae",56
"boreidae",56
"cicadidae",56
"diastoporidae",56
"enterospira",56
"hegathyridae",56
"heptageniidae",56
"krausellidae",56
"nyctibiidae",56
"palaeotextulariidae",56
"phrynidae",56
"piscicolidae",56
"porosphaeridae",56
"pseudolingulidae",56
"samoidae",56
"stainforthiidae",56
"stegnamminidae",56
"trachyteuthididae",56
"tubiporidae",56
"zeacrinitidae",56
"acutichitonidae",55
"callochitonidae",55
"chrysobalanaceae",55
"coeluridae",55
"cryptoplacidae",55
"cyamiidae",55
"dapediidae",55
"diaphanidae",55
"drepanididae",55
"gyracanthidae",55
"haemopidae",55
"hamptoniidae",55
"haploceratidae",55
"hurdiidae",55
"lituotubidae",55
"oxalidaceae",55
"pitheciidae",55
"polyzoniidae",55
"ptychoceratidae",55
"siphonophoridae",55
"thalassoceratidae",55
"tortricidae",55
"archaeorthidae",54
"baetidae",54
"bransoniidae",54
"carcinidae",54
"caryocarididae",54
"chordodidae",54
"cleiocrinidae",54
"corixidae",54
"drepanellidae",54
"erotylidae",54
"eucopiidae",54
"helicodontidae",54
"lorisidae",54
"marsupitidae",54
"metasibiritidae",54
"onychasteridae",54
"oxydesmidae",54
"percichthyidae",54
"plantaginaceae",54
"plectorhynchellidae",54
"tripterygiidae",54
"amphibolidae",53
"anisolabididae",53
"bathyclupeidae",53
"berriasellidae",53
"cabombaceae",53
"cavidae",53
"cidariidae",53
"crotalocrinitidae",53
"harknessellidae",53
"ischyriniidae",53
"lucanidae",53
"petrolacosauridae",53
"phlegethontiidae",53
"prionopidae",53
"punctatrypidae",53
"pygasteridae",53
"raphidae",53
"strophochonetidae",53
"amaryllidaceae",52
"cynodontidae",52
"dynastidae",52
"hydrodictyaceae",52
"linoporellidae",52
"lipotidae",52
"mantispidae",52
"omphalocirridae",52
"palaeomanteidae",52
"pholadomyacidae",52
"porocrinidae",52
"porpitidae",52
"potamonautidae",52
"protembiidae",52
"reophacellidae",52
"stomopneustidae",52
"tetrigidae",52
"anabantidae",51
"balatonitidae",51
"benthopectinidae",51
"calescharidae",51
"conescharellinidae",51
"encrinasteridae",51
"erniettiaceae",51
"fursenkoinidae",51
"globanomalinidae",51
"gnathostomulidae",51
"himantariidae",51
"marchantiaceae",51
"nilssoniaceae",51
"paleuthygrammatidae",51
"pinguipedidae",51
"plagusiidae",51
"polygalaceae",51
"potamotrygonidae",51
"procerithiidae",51
"saccardiaceae",51
"siliculidae",51
"texanitidae",51
"textulariopsidae",51
"tipulidae?",51
"aganasteridae",50
"alangiaceae",50
"anablepidae",50
"anagalidae",50
"arhynchobatidae",50
"atemnidae",50
"bassleroceratidae",50
"bathylasmatidae",50
"cheirocrinidae",50
"crossognathidae",50
"daphniidae",50
"darwinulidae",50
"disciniidae",50
"haplolepididae",50
"liacaridae",50
"microdontidae",50
"orthonotidae",50
"prorhynchidae",50
"pygurids",50
"sespedectidae",50
"seymouriidae",50
"sigmagraptidae",50
"squalorajidae",50
"staphyleaceae",50
"taeniidae",50
"tapisciaceae",50
"thryonomyidae",50
"trichopityaceae",50
"urolophidae",50
"vasidae",50
"anomaluridae",49
"ascodictyidae",49
"asteliaceae",49
"azhdarchidae",49
"babyloniidae",49
"baltoceratidae",49
"caprellinoididae",49
"chilinidae",49
"chlamydoselachidae",49
"coronulidae",49
"ctenodactylidae",49
"cylindrophiidae",49
"diaphorodendraceae",49
"discoglossidae",49
"ditoecholasmatidae",49
"gymnuridae",49
"herpetotheriidae",49
"laemophloeidae",49
"lissajousithyrididae",49
"mesothuriidae",49
"philopteridae",49
"plectreuridae",49
"preacanthochitonidae",49
"rossellidae",49
"septirhynchiidae",49
"telephinidae",49
"triportheidae",49
"aeolidiidae",48
"astrorhizidae",48
"caddidae",48
"caryodidae",48
"centrophoridae",48
"cladonychiidae",48
"colobometridae",48
"colosteidae",48
"conchopomatidae",48
"ctenizidae",48
"cyphocarididae",48
"ethusidae",48
"hodotermitidae",48
"hyalidae",48
"hymenophyllaceae",48
"labiduridae",48
"lepetodrilidae",48
"limacodidae",48
"overtoniidae",48
"passerellidae",48
"philobryidae",48
"piperaceae",48
"stromatolites",48
"stromatoporellidae",48
"trochocystitidae",48
"valcouroceratidae",48
"westonoceratidae",48
"acleistorhinidae",47
"cassiopidae",47
"coleophoridae",47
"cyclodorippidae",47
"daraelitidae",47
"garryaceae",47
"hyperoodontidae",47
"lasiograptidae",47
"latidae",47
"mesosauridae",47
"myzostomatidae",47
"otarionidae",47
"paranorellidae",47
"pnoepygidae",47
"priapulidae",47
"rhynchotetradidae",47
"wiwaxiidae",47
"aspidellaceae",46
"bohemiellidae",46
"bopyridae",46
